user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive,youtube_views,youtube_likes,youtube_comments
1051,00:00.0,Camera,Utilities,24.53,2,7,FALSE,,,
1088,43:41.7,Chrome,Utilities,19.78,3,2,FALSE,,,
1052,27:23.3,Spotify,Entertainment,32.03,1,6,FALSE,,,
1028,11:05.0,Google Maps,Utilities,19.1,2,5,FALSE,,,
1034,54:46.7,Instagram,Social,25.19,1,5,FALSE,,,
1064,38:28.4,Chrome,Utilities,85.15,2,5,FALSE,,,
1063,22:10.0,Instagram,Social,4.37,0,5,FALSE,,,
1095,05:51.7,Camera,Utilities,57.35,2,5,FALSE,,,
1060,49:33.4,Instagram,Social,58.42,3,2,FALSE,,,
1016,33:15.1,Snapchat,Social,5.08,0,7,FALSE,,,
1060,16:56.7,Instagram,Social,36.16,5,4,FALSE,,,
1044,00:38.4,Twitch,Entertainment,6.18,5,7,FALSE,,,
1065,44:20.1,Instagram,Social,31.61,5,5,FALSE,,,
1059,28:01.8,Snapchat,Social,110.47,5,1,FALSE,,,
1041,11:43.4,Netflix,Entertainment,4.1,2,4,FALSE,,,
1079,55:25.1,Slack,Productivity,,5,4,TRUE,,,
1087,39:06.8,Gmail,Utilities,19.5,4,3,FALSE,,,
1003,22:48.5,Google Docs,Productivity,33.26,3,5,TRUE,,,
1041,06:30.1,Instagram,Social,13.79,0,1,FALSE,,,
1022,50:11.8,Gmail,Utilities,21.07,2,3,FALSE,,,
1093,33:53.5,Gmail,Utilities,9.53,3,4,FALSE,,,
1069,17:35.2,Snapchat,Social,21.09,2,3,FALSE,,,
1056,01:16.8,Slack,Productivity,33.38,4,1,TRUE,,,
1014,44:58.5,Twitch,Entertainment,9.63,1,6,FALSE,,,
1019,28:40.2,Snapchat,Social,84.67,3,5,FALSE,,,
1027,12:21.8,Microsoft Teams,Productivity,54.04,4,6,TRUE,,,
1028,56:03.5,Camera,Utilities,12.75,3,4,FALSE,,,
1048,39:45.2,Slack,Productivity,,2,6,TRUE,,,
1004,23:26.9,YouTube,Entertainment,5.96,3,4,FALSE,141455,12489,386
1041,07:08.5,WhatsApp,Social,57.81,1,5,FALSE,,,
1009,50:50.2,Snapchat,Social,8.23,0,10,FALSE,,,
1093,34:31.9,Weather,Utilities,0.36,1,6,FALSE,,,
1033,18:13.6,Instagram,Social,16.06,4,5,FALSE,,,
1023,01:55.2,Spotify,Entertainment,17.65,4,4,FALSE,,,
1061,45:36.9,YouTube,Entertainment,,3,2,FALSE,217120,13571,3245
1049,29:18.6,Google Maps,Utilities,49.52,2,2,FALSE,,,
1083,13:00.3,WhatsApp,Social,20.94,3,6,FALSE,,,
1055,56:41.9,Slack,Productivity,22.81,2,6,TRUE,,,
1027,40:23.6,YouTube,Entertainment,3.36,2,5,FALSE,455780,34012,5289
1012,24:05.3,Camera,Utilities,36.4,3,6,FALSE,,,
1054,07:46.9,TikTok,Entertainment,2.11,2,2,FALSE,,,
1021,51:28.6,Google Maps,Utilities,21.12,2,3,FALSE,,,
1036,35:10.3,Spotify,Entertainment,,2,10,FALSE,,,
1085,18:51.9,TikTok,Entertainment,13.1,1,5,FALSE,,,
1017,02:33.7,Chrome,Utilities,110.96,1,3,FALSE,,,
1000,46:15.3,WhatsApp,Social,13.04,2,6,FALSE,,,
1032,29:56.9,WhatsApp,Social,17.62,2,2,FALSE,,,
1016,13:38.7,YouTube,Entertainment,22.13,1,9,FALSE,327559,26298,2334
1035,57:20.3,TikTok,Entertainment,11.08,4,9,FALSE,,,
1059,41:02.0,Netflix,Entertainment,7,5,10,FALSE,,,
1031,24:43.7,Chrome,Utilities,12.12,5,5,FALSE,,,
1076,08:25.4,Gmail,Utilities,3.34,2,3,FALSE,,,
1069,52:07.0,WhatsApp,Social,30.81,1,9,FALSE,,,
1013,35:48.7,Snapchat,Social,0.64,2,7,FALSE,,,
1080,19:30.4,Camera,Utilities,3.68,2,5,FALSE,,,
1054,03:12.1,Microsoft Teams,Productivity,38,2,5,TRUE,,,
1088,46:53.7,Evernote,Productivity,0.98,1,3,TRUE,,,
1035,30:35.4,Snapchat,Social,10.6,5,3,FALSE,,,
1062,14:17.1,Facebook,Social,43.85,1,3,FALSE,,,
1019,57:58.8,Netflix,Entertainment,32.99,2,4,FALSE,,,
1099,41:40.4,Netflix,Entertainment,12.09,0,6,FALSE,,,
1043,25:22.1,Chrome,Utilities,33.17,3,5,FALSE,,,
1086,09:03.8,Snapchat,Social,21.21,2,6,FALSE,,,
1058,52:45.5,Twitter,Social,,1,5,FALSE,,,
1090,36:27.1,Chrome,Utilities,27.75,1,4,FALSE,,,
1030,20:08.8,Snapchat,Social,17.89,3,9,FALSE,,,
1050,03:50.5,Facebook,Social,8.14,4,10,FALSE,,,
1054,47:32.2,Chrome,Utilities,10.18,3,5,FALSE,,,
1001,31:13.8,WhatsApp,Social,36.72,5,5,FALSE,,,
1021,14:55.5,Evernote,Productivity,68.02,3,5,TRUE,,,
1039,58:37.2,WhatsApp,Social,8.91,2,3,FALSE,,,
1001,42:18.8,WhatsApp,Social,3.9,3,3,FALSE,,,
1076,26:00.5,Instagram,Social,,0,5,FALSE,,,
1037,09:42.2,WhatsApp,Social,41.27,1,7,FALSE,,,
1069,53:23.9,WhatsApp,Social,39.72,2,12,FALSE,,,
1032,37:05.5,Instagram,Social,2.6,4,5,FALSE,,,
1068,20:47.2,Twitch,Entertainment,53.45,3,6,FALSE,,,
1085,04:28.9,TikTok,Entertainment,7.01,2,4,FALSE,,,
1029,48:10.6,Weather,Utilities,43.36,2,6,FALSE,,,
1043,31:52.2,Twitch,Entertainment,30.3,1,4,FALSE,,,
1011,15:33.9,Chrome,Utilities,4.03,0,8,FALSE,,,
