user_id,app_name,category,screen_time_min,launches,interactions,is_productive
1051,Camera,Utilities,24.53,2.0,7.0,False
1088,Chrome,Utilities,19.78,3.0,2.0,False
1052,Spotify,Entertainment,32.03,1.0,6.0,False
1028,Google Maps,Utilities,19.1,2.0,5.0,False
1034,Instagram,Social,25.19,1.0,5.0,False
1064,Chrome,Utilities,85.15,2.0,5.0,False
1063,Instagram,Social,4.37,0.0,5.0,False
1095,Camera,Utilities,57.35,2.0,5.0,False
1060,Instagram,Social,58.42,3.0,2.0,False
1016,Snapchat,Social,5.08,0.0,7.0,False
1060,Instagram,Social,36.16,5.0,4.0,False
1044,Twitch,Entertainment,6.18,5.0,7.0,False
1065,Instagram,Social,31.61,5.0,5.0,False
1059,Snapchat,Social,110.47,5.0,1.0,False
1041,Netflix,Entertainment,4.1,2.0,4.0,False
1079,Slack,Productivity,29.910392617449666,5.0,4.0,True
1087,Gmail,Utilities,19.5,4.0,3.0,False
1003,Google Docs,Productivity,33.26,3.0,5.0,True
1041,Instagram,Social,13.79,0.0,1.0,False
1022,Gmail,Utilities,21.07,2.0,3.0,False
1093,Gmail,Utilities,9.53,3.0,4.0,False
1069,Snapchat,Social,21.09,2.0,3.0,False
1056,Slack,Productivity,33.38,4.0,1.0,True
1014,Twitch,Entertainment,9.63,1.0,6.0,False
1019,Snapchat,Social,84.67,3.0,5.0,False
1027,Microsoft Teams,Productivity,54.04,4.0,6.0,True
1028,Camera,Utilities,12.75,3.0,4.0,False
1048,Slack,Productivity,29.910392617449666,2.0,6.0,True
1004,YouTube,Entertainment,5.96,3.0,4.0,False
1041,WhatsApp,Social,57.81,1.0,5.0,False
1009,Snapchat,Social,8.23,0.0,10.0,False
1093,Weather,Utilities,0.36,1.0,6.0,False
1033,Instagram,Social,16.06,4.0,5.0,False
1023,Spotify,Entertainment,17.65,4.0,4.0,False
1061,YouTube,Entertainment,29.910392617449666,3.0,2.0,False
1049,Google Maps,Utilities,49.52,2.0,2.0,False
